run_id,quant_mode,iteration,policy_cuda_ms,policy_wall_ms,step_1_ms,step_2_ms,step_3_ms,step_4_ms,step_5_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T182727_fake_int4_854bb9,fake_int4_backbone,0,486.40552,486.45828,60.36787,59.86713,59.43091,59.54662,59.65414,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,1,443.62872,443.68112,60.07597,59.44115,59.52512,59.55891,59.36845,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,2,446.8967,446.95676,60.40781,59.50771,59.33466,59.6736,59.40326,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,3,447.00577,447.05701,61.34272,59.8313,60.2327,59.41862,59.45753,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,4,448.26675,448.31763,60.69965,59.9552,59.61626,59.49133,59.44013,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,5,444.46786,444.53107,60.3689,59.3111,59.432,59.26502,59.60806,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,6,444.78638,444.83926,60.04422,59.45753,59.33773,59.6736,59.64694,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,7,444.31421,444.36589,60.12826,59.46675,59.50669,59.33773,59.50157,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,8,508.71808,508.76842,60.49178,59.74032,59.31417,59.48835,59.34899,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,9,461.99127,462.04725,62.23053,62.13622,59.45651,59.58141,61.48301,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,10,462.37076,462.42476,64.11674,59.92352,59.65414,62.79578,59.57018,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,11,454.31238,454.36599,62.48448,62.88282,62.26134,59.61626,59.27728,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,12,449.65527,449.70838,60.03206,59.95213,61.21881,59.48733,62.1097,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,13,446.32645,446.44709,60.22042,60.55424,59.50771,59.41453,62.66368,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,14,448.32193,448.3813,61.31815,59.65619,59.51181,59.53536,59.48928,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,15,457.12762,457.18226,60.0279,59.53229,59.86201,59.29773,59.62234,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,16,446.77606,446.82735,60.39552,59.50362,59.75347,59.33261,59.69613,3994.479,6004.0
20260729T182727_fake_int4_854bb9,fake_int4_backbone,17,453.99725,454.05664,61.93152,59.62035,61.10106,61.02016,60.89011,3994.479,6004.0
