run_id,quant_mode,iteration,policy_cuda_ms,policy_wall_ms,step_1_ms,step_2_ms,step_3_ms,step_4_ms,step_5_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T181228_fp8_d7548a,fp8_backbone,0,1051.67554,1052.38951,179.53792,196.36736,171.59987,180.67763,174.58286,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,1,1041.49744,1041.54599,173.39494,180.68582,173.71852,171.04384,173.74106,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,2,1063.43811,1063.4768,178.23334,179.43245,176.59494,174.65242,174.72615,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,3,1012.66595,1012.70147,175.77063,174.04829,173.4912,169.94714,174.72006,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,4,1051.51453,1051.54536,183.8591,193.59543,177.11104,171.86508,174.87779,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,5,1049.55554,1049.61071,179.35565,176.95334,179.22356,183.18028,177.53806,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,6,1023.30817,1023.33928,183.60115,176.88054,170.29324,173.13588,170.0311,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,7,999.75604,999.78675,170.98145,170.22566,171.647,170.32387,169.35936,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,8,997.95026,998.13096,172.87065,170.86771,169.297,169.35423,169.19244,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,9,1006.68011,1006.72142,179.29114,171.92448,169.86829,169.41568,169.60103,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,10,1020.79456,1020.82548,171.136,170.29732,170.74065,170.70387,170.08742,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,11,1026.49329,1026.52552,170.7735,170.75815,169.94817,169.75565,173.00275,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,12,1000.26776,1000.30082,171.41862,170.49402,170.62195,170.73663,169.45972,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,13,999.4306,999.46222,173.35402,170.03629,169.82631,169.57849,169.92563,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,14,998.70947,998.74389,171.03981,170.26765,170.43353,169.47514,169.26413,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,15,1014.30566,1014.34254,172.41702,170.54617,170.40793,177.46432,174.37695,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,16,999.58252,999.61527,171.02036,170.40793,170.65062,170.08846,169.93484,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,17,995.255,995.29097,170.77452,169.58873,169.49658,169.59181,169.28973,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,18,1001.44666,1001.50396,174.21516,169.7495,169.67372,169.68301,169.72289,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,19,999.3266,999.36472,171.63264,170.36391,170.0137,170.63219,169.86111,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,20,999.04865,999.08304,171.31827,170.00755,169.77921,171.99309,169.32864,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,21,998.35742,998.39425,172.26854,169.9328,169.64198,170.03107,169.73926,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,22,1005.19574,1005.22865,170.75713,169.68909,170.56358,170.08128,170.07513,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,23,1002.65277,1002.68508,173.15533,170.02803,170.24103,170.0024,169.72595,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,24,1013.51538,1013.70377,175.33754,176.02048,171.52205,171.09505,171.21178,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,25,1024.02795,1024.06858,172.65561,172.74272,171.40634,183.12909,176.34509,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,26,1069.98193,1070.0172,171.97261,171.58041,171.3623,171.48723,172.57983,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,27,1025.68994,1025.72208,176.49152,175.83197,175.55865,174.50079,175.77676,2334.467,3828.0
20260729T181228_fp8_d7548a,fp8_backbone,28,1019.59814,1019.62983,174.61043,174.44455,175.21869,174.36058,174.39539,2334.467,3828.0
