run_id,quant_mode,iteration,policy_cuda_ms,policy_wall_ms,step_1_ms,step_2_ms,step_3_ms,step_4_ms,step_5_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T181736_int4_wo_98cc4c,int4_weight_only,0,1616.04504,1616.08259,268.5737,268.53683,268.27878,268.28287,268.3013,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,1,1553.78613,1553.82781,268.59827,268.28082,268.3269,268.60248,268.27469,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,2,1509.62158,1509.65435,268.34637,268.09958,268.09857,267.98898,267.86917,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,3,1495.00452,1495.02601,268.4631,267.96545,267.90808,267.90094,267.86816,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,4,1490.51318,1490.53814,268.38629,267.96338,267.91104,267.92551,268.00946,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,5,1530.3125,1530.33825,268.36072,268.09445,267.9234,267.96448,267.89069,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,6,1491.66101,1491.68409,268.35455,267.98489,268.28595,268.02689,267.86304,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,7,1503.86169,1503.88701,268.30438,268.02789,268.07089,267.85281,267.86816,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,8,1574.42407,1574.46072,268.52148,268.63,268.60236,268.54706,268.56345,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,9,1491.89124,1491.93644,268.39859,268.66064,268.60236,268.54501,269.16455,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,10,1492.45947,1492.49708,268.48563,268.85019,269.14304,268.59521,268.49384,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,11,1589.42627,1589.45501,268.80615,268.45901,268.49997,268.5163,268.25012,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,12,1486.57629,1486.60914,268.33511,268.2962,268.07602,268.28903,268.17844,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,13,1490.00208,1490.02514,268.32895,267.94803,267.94702,268.36172,267.92859,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,14,1516.12097,1516.15125,268.31052,268.08115,268.00436,267.93268,267.87933,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,15,1490.10217,1490.1269,268.33817,268.07193,268.12827,268.27869,268.41599,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,16,1494.59998,1494.63783,268.34534,268.58292,268.48563,268.55118,268.69247,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,17,1491.82996,1491.86911,268.67603,268.54294,268.55731,268.59628,268.6597,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,18,1490.33435,1490.36286,268.35968,268.12006,268.44363,268.0791,268.65665,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,19,1491.51831,1491.5465,268.33511,268.10779,268.19891,268.19073,268.07706,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,20,1491.03674,1491.071,268.39758,268.52966,268.87476,268.85733,269.10516,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,21,1501.07361,1501.1076,268.49484,268.42215,268.40063,268.61261,268.48666,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,22,1489.69385,1489.73373,268.42535,268.41806,268.34021,268.4375,268.52658,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,23,1491.40234,1491.45785,268.45901,268.25421,268.69043,268.6167,268.59418,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,24,1559.18567,1559.22841,268.50101,268.6167,268.78973,268.47437,268.49286,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,25,1497.26794,1497.30398,268.55316,268.58392,268.82458,268.5051,268.48563,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,26,1499.40588,1499.44985,268.72833,268.35355,268.55731,268.37708,268.37811,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,27,1545.10254,1545.14512,268.6076,268.45593,268.52045,268.58701,268.48154,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,28,1490.66797,1490.70444,268.50406,268.62592,268.29825,268.57062,268.77338,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,29,1491.25305,1491.28682,268.51642,268.70477,268.59109,268.63617,268.49997,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,30,1489.55688,1489.58934,268.48563,268.70068,268.35559,268.41293,268.47745,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,31,1516.15698,1516.18724,268.46207,268.43649,269.08057,268.62283,268.28494,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,32,1495.63647,1495.66848,268.61569,268.62177,268.62491,268.5614,268.58292,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,33,1520.04675,1520.07039,268.75299,268.55527,268.05145,267.94598,267.95416,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,34,1486.29346,1486.31985,268.45697,268.22144,268.04532,268.4252,268.05554,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,35,1487.54773,1487.57592,268.62387,268.28699,268.27878,268.52243,268.29926,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,36,1487.99451,1488.02283,268.70786,268.21326,268.16922,268.38733,268.47949,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,37,1576.97388,1577.00156,268.56549,268.66995,268.94745,268.78351,269.02335,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,38,1506.63611,1506.66808,268.67712,268.41599,268.40576,268.41089,268.39346,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,39,1529.99988,1530.03465,268.41296,268.55936,268.38016,269.2178,268.71194,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,40,1495.15918,1495.19595,268.58087,269.37653,268.80005,268.36072,268.68839,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,41,1499.44543,1499.47318,268.41702,268.50208,268.26547,268.20813,268.33408,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,42,1487.44519,1487.49381,268.45905,268.28287,268.40985,268.42419,268.13132,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,43,1535.57764,1535.61091,268.60648,268.85632,268.72525,269.24442,268.27573,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,44,1488.67065,1488.71142,268.63513,268.09753,268.52454,268.67609,268.60434,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,45,1490.92017,1490.95598,268.586,268.12314,268.59314,268.11084,268.09549,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,46,1492.13354,1492.15891,268.45798,268.28799,268.42728,268.17639,268.62183,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,47,1490.0033,1490.02951,268.37402,268.25522,268.6853,268.37506,268.08832,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,48,1495.6521,1495.68722,268.44467,268.1221,268.09958,268.15796,268.55219,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,49,1489.8562,1489.90224,268.46722,268.85529,268.73138,268.2327,268.70773,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,50,1555.49548,1555.52545,268.44159,268.09232,268.07602,268.01868,268.0238,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,51,1487.30139,1487.331,268.39758,268.18152,268.25012,268.32288,268.45789,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,52,1490.38098,1490.41849,268.38324,268.45285,268.76825,268.49384,268.19995,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,53,1492.00928,1492.03885,269.01605,268.55627,268.32486,268.17438,268.50101,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,54,1510.86145,1510.913,268.8616,268.43854,268.31155,268.69351,268.18048,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,55,1529.54907,1529.59264,269.18298,268.12622,269.44308,268.0976,269.32224,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,56,1492.98096,1493.01436,268.9321,268.25626,268.91675,268.21426,268.45081,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,57,1572.86182,1572.92208,268.67508,268.10587,269.20755,268.33716,268.38937,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,58,1492.24548,1492.27055,268.65356,267.98593,268.32178,268.17126,268.32895,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,59,1486.37512,1486.39926,268.60748,268.17126,267.98798,268.03506,268.18356,1547.831,2790.0
20260729T181736_int4_wo_98cc4c,int4_weight_only,60,1501.38782,1501.41926,268.64844,268.04123,268.52045,268.17639,268.57678,1547.831,2790.0
