run_id,quant_mode,iteration,policy_cuda_ms,policy_wall_ms,step_1_ms,step_2_ms,step_3_ms,step_4_ms,step_5_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T181234_int8_w8a8_9d8d21,int8_backbone,0,2484.6189,2484.62387,467.65979,465.89539,465.45306,467.32391,468.27112,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,1,2759.16235,2759.17393,582.67749,491.35822,476.91467,491.37256,469.48044,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,2,2573.42383,2573.60652,473.4606,469.52139,481.95688,475.19232,505.30191,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,3,2527.08618,2527.28524,478.31143,473.60205,468.15741,473.96558,475.43195,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,4,2515.4248,2515.63596,472.04456,466.00909,467.2215,473.28864,478.86951,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,5,2651.28418,2651.48077,479.40302,477.2352,477.68051,476.70477,482.04895,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,6,2518.46973,2518.6327,464.63898,464.19559,467.05139,476.06076,468.56192,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,7,2569.04761,2569.08589,469.46713,475.81696,484.35199,470.1778,470.26688,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,8,2536.92847,2537.09464,477.95917,474.41614,469.26651,476.75381,479.48392,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,9,2513.06519,2513.10415,467.69763,468.3858,466.40231,467.77652,467.64236,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,10,2493.84863,2494.01625,466.35214,464.87552,473.87747,465.8678,469.2439,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,11,2527.81934,2527.84874,468.87732,469.61972,471.88379,477.56796,477.96121,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,12,2531.39844,2531.55877,482.22412,475.37048,466.42075,469.64325,475.008,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,13,2527.22217,2527.25527,469.24594,468.83228,472.00458,466.54465,475.13089,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,14,2492.76562,2492.76913,465.18683,468.95615,464.10342,470.35187,468.9541,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,15,2502.05176,2502.22294,473.0798,465.73361,466.42484,470.96933,471.60223,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,16,2496.07153,2496.10796,466.26099,468.4082,467.13651,467.40479,470.98062,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,17,2484.7395,2484.74207,464.74957,468.5864,464.9595,467.74066,466.53448,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,18,2483.35571,2483.35901,465.77255,463.68051,468.4462,465.51962,470.60992,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,19,2510.396,2510.55938,472.54938,467.26657,472.16742,468.95105,469.53473,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,20,2513.30542,2513.30986,467.99976,464.57138,469.35449,464.9216,469.92691,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,21,2485.91675,2485.92325,467.27884,466.56512,464.96973,468.00998,466.62451,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,22,2487.65967,2487.66089,468.12366,463.90988,467.95584,463.76755,467.11295,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,23,2489.89868,2489.92822,466.17908,465.43768,472.88934,464.46695,469.46405,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,24,2479.27881,2479.28431,464.58264,466.82516,464.33688,467.44781,465.07928,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,25,2496.78491,2496.96086,467.43146,468.57626,470.77991,463.68039,470.33957,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,26,2542.31787,2542.34679,467.51538,469.30023,466.58356,476.629,479.5054,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,27,2616.9502,2616.95567,477.71545,474.32916,504.3927,532.9234,474.44785,2323.752,3700.0
20260729T181234_int8_w8a8_9d8d21,int8_backbone,28,2556.10278,2556.10795,470.64984,504.94772,469.47736,474.05252,472.31284,2323.752,3700.0
